timestamp,ts_value::
2022-06-09 14:00:00,43352.04688
2022-06-09 15:00:00,43352.04688
2022-06-09 16:00:00,43352.04688
2022-06-09 17:00:00,43352.04688
2022-06-09 18:00:00,43352.04688
2022-06-09 19:00:00,43352.04688
2022-06-09 20:00:00,43352.04688
2022-06-09 21:00:00,43352.04688
2022-06-09 22:00:00,43352.04688
2022-06-09 23:00:00,43352.04688
2022-06-10 0:00:00,43352.04688
2022-06-10 1:00:00,43352.04688
2022-06-10 2:00:00,43352.04688
2022-06-10 3:00:00,43352.04688
2022-06-10 4:00:00,43352.04688
2022-06-10 5:00:00,43352.04688
2022-06-10 6:00:00,43352.04688
2022-06-10 7:00:00,43352.04688
2022-06-10 8:00:00,43352.04688
2022-06-10 9:00:00,43352.04688
2022-06-10 10:00:00,43352.04688
2022-06-10 11:00:00,43352.04688
2022-06-10 12:00:00,43352.04688
2022-06-10 13:00:00,43352.04688
2022-06-10 14:00:00,43428.9375
2022-06-10 15:00:00,43429.9375
2022-06-10 16:00:00,43430.9375
2022-06-10 17:00:00,43431.93359
2022-06-10 18:00:00,43432.93359
2022-06-10 19:00:00,43433.93359
2022-06-10 20:00:00,43434.92969
2022-06-10 21:00:00,43435.92969
2022-06-10 22:00:00,43436.92969
2022-06-10 23:00:00,43437.92578
2022-06-11 0:00:00,43438.92578
2022-06-11 1:00:00,43439.92188
2022-06-11 2:00:00,43440.92188
2022-06-11 3:00:00,43441.92188
2022-06-11 4:00:00,43442.91797
2022-06-11 5:00:00,43443.91797
2022-06-11 6:00:00,43444.91797
2022-06-11 7:00:00,43445.91406
2022-06-11 8:00:00,43446.91406
2022-06-11 9:00:00,43447.91016
2022-06-11 10:00:00,43448.91016
2022-06-11 11:00:00,43449.91016
2022-06-11 12:00:00,43450.90625
2022-06-11 13:00:00,43451.90625
2022-06-11 14:00:00,43452.90625
2022-06-11 15:00:00,43453.90234
2022-06-11 16:00:00,43454.90234
2022-06-11 17:00:00,43455.90234
2022-06-11 18:00:00,43456.89844
2022-06-11 19:00:00,43457.89844
2022-06-11 20:00:00,43458.89453
2022-06-11 21:00:00,43459.89453
2022-06-11 22:00:00,43460.89453
2022-06-11 23:00:00,43461.89063
